id,product_id,sku,price,sale_price,stock_quantity,image,is_active,created_at,updated_at
1,1072,SS253185013SLF80839,109,0,10,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
2,1072,SS253185013SLF80840,109,0,9,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
3,1072,SS253185013SLF80841,109,0,11,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
5,1072,SS253185013SLF99938,109,0,5,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
6,1072,SS253185013SLF99939,109,0,7,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
7,1072,SS253185013SLF99940,109,0,5,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
8,1072,SS253185013SLF99941,109,0,7,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
9,1073,S243314013CSF71036,79,0,4,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
10,1073,S243314013CSF71037,79,0,9,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
11,1073,S243314013CSF71039,79,0,13,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
14,1073,S243314013CSF80939,79,0,12,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
15,1073,S243314013CSF99936,79,0,8,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
16,1073,S243314013CSF99937,79,0,3,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
19,1074,S243338012SLH99940,49,0,9,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
20,1074,S243338012SLH99941,49,0,4,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
23,1075,S243341012SLH30239,49,0,9,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
24,1075,S243341012SLH30240,49,0,9,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
25,1075,S243341012SLH30241,49,0,10,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
26,1075,S243341012SLH80041,49,0,5,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
27,1076,F243344013SLF50741,149,109,8,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
28,1076,F243344013SLF66039,149,109,9,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
30,1076,F243344013SLF66041,149,109,18,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
31,1076,F243344013SLF70041,149,109,10,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
32,1076,F243344013SLF71241,149,109,8,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
34,1077,S24B100310SSF80028,29,0,4,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
35,1078,S24B100410SSF25028,29,0,5,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
36,1078,S24B100410SSF80034,29,0,4,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
37,1079,S24B100910SLF70023,29,0,4,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
38,1080,F24B102501CSF25025,29,0,14,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
39,1080,F24B102501CSF25026,29,0,23,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
40,1080,F24B102501CSF25027,29,0,24,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
41,1080,F24B102501CSF25028,29,0,26,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
42,1080,F24B102501CSF25029,29,0,25,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
43,1080,F24B102501CSF25030,29,0,26,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
44,1080,F24B102501CSF25031,29,0,26,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
45,1080,F24B102501CSF25032,29,0,26,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
46,1080,F24B102501CSF25033,29,0,26,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
47,1080,F24B102501CSF25034,29,0,25,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
48,1080,F24B102501CSF25035,29,0,25,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
49,1080,F24B102501CSF25036,29,0,26,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
50,1080,F24B102501CSF40125,29,0,10,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
51,1080,F24B102501CSF40126,29,0,6,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
52,1080,F24B102501CSF40127,29,0,10,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
53,1080,F24B102501CSF40128,29,0,17,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
54,1080,F24B102501CSF40129,29,0,16,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
55,1080,F24B102501CSF40130,29,0,11,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
56,1080,F24B102501CSF40131,29,0,17,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
57,1080,F24B102501CSF40132,29,0,21,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
58,1080,F24B102501CSF40133,29,0,19,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
59,1080,F24B102501CSF40134,29,0,19,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
60,1080,F24B102501CSF40135,29,0,20,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
61,1080,F24B102501CSF40136,29,0,17,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
64,1080,F24B102501CSF70427,29,0,8,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
65,1080,F24B102501CSF70428,29,0,14,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
67,1080,F24B102501CSF70430,29,0,8,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
68,1080,F24B102501CSF70431,29,0,15,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
69,1080,F24B102501CSF70432,29,0,15,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
70,1080,F24B102501CSF70433,29,0,15,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
71,1080,F24B102501CSF70434,29,0,23,,1,2025-12-06 20:26:29+04:00,2025-12-06 20:26:29+04:00
